children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11549.813430786133,5774.906715393066,9.895461194084413,4.947730597042207,100.0,2.0
0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0202865600586,213.34009552001953,30.927251565492345,10.309083855164115,200.0,3.0
0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21316.998191833496,21316.998191833496,26.331830693283624,26.331830693283624,300.0,1.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2313.267951965332,2313.267951965332,20.733603601769996,20.733603601769996,500.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1025.0953788757324,341.69845962524414,21.010919843444725,7.003639947814909,600.0,3.0
2.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12732.312683105469,3183.078170776367,124.75183018373481,31.187957545933703,700.0,4.0
0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7763.003562927246,3881.501781463623,25.99733969333612,12.99866984666806,900.0,2.0
0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10906.704162597656,5453.352081298828,53.6386973167841,26.81934865839205,1000.0,2.0
0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.572738647461,3528.572738647461,48.50464555977869,48.50464555977869,1600.0,1.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24756.138229370117,12378.069114685059,41.00230393574729,20.501151967873646,1900.0,2.0
0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9703.506156921387,4851.753078460693,25.947243197183074,12.973621598591537,2000.0,2.0
0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26297.519744873047,13148.759872436523,64.6847190478458,32.3423595239229,2200.0,2.0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,522.0427856445312,130.5106964111328,24.673155901142408,6.168288975285602,2300.0,4.0
0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3563.603317260742,3563.603317260742,15.270998694032523,15.270998694032523,2700.0,1.0
0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5622.402801513672,2811.201400756836,45.70781705578905,22.853908527894525,2900.0,2.0
1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,473.42674255371094,94.68534851074219,61.38041455228109,12.276082910456218,3100.0,5.0
0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,621.8775177001953,124.37550354003906,103.64970354667213,20.729940709334425,3200.0,5.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,628.0151824951172,209.33839416503906,98.71810519260163,32.906035064200545,3300.0,3.0
0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13977.419574737549,13977.419574737549,15.08922657211976,15.08922657211976,3500.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6884.200454711914,6884.200454711914,5.375877307743344,5.375877307743344,3600.0,1.0
0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8925.673446655273,4462.836723327637,35.86424815798626,17.93212407899313,3900.0,2.0
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13566.315376281738,6783.157688140869,19.83660151944117,9.918300759720585,4000.0,2.0
0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1031.4539680480957,343.81798934936523,68.76048866242324,22.920162887474408,4200.0,3.0
0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10489.300231933594,3496.4334106445312,53.79729908107311,17.932433027024377,4400.0,3.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11362.957481384277,11362.957481384277,5.800885762551187,5.800885762551187,4600.0,1.0
0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1759.4953994750977,879.7476997375488,53.21549083689848,26.60774541844924,4700.0,2.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2758.411178588867,1379.2055892944336,30.835221820108778,15.417610910054389,4900.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9718.673774719238,4859.336887359619,20.093688290335503,10.046844145167752,5000.0,2.0
0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1879.6395721435547,939.8197860717773,89.24804847941745,44.624024239708724,5100.0,2.0
0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,968.9431762695312,242.2357940673828,99.78274763167887,24.94568690791972,5400.0,4.0
2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2721.7727661132812,680.4431915283203,27.31238314020752,6.82809578505188,5500.0,4.0
0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4561.8694496154785,4561.8694496154785,26.183794782895493,26.183794782895493,5600.0,1.0
0.0,1.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6649.727264404297,3324.8636322021484,52.645154515912964,26.322577257956482,5700.0,2.0
0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12689.07707977295,12689.07707977295,17.944342716454873,17.944342716454873,5800.0,1.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3367.1596069335938,3367.1596069335938,32.382802664014925,32.382802664014925,6000.0,1.0
3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1020.0436935424805,145.72052764892578,31.927224955076497,4.5610321364395,6100.0,7.0
0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2472.8658180236816,2472.8658180236816,46.309622374249194,46.309622374249194,6500.0,1.0
0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30080.570266723633,15040.285133361816,52.37654600809721,26.188273004048604,6600.0,2.0
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1355.963119506836,677.981559753418,20.710480365781095,10.355240182890547,6700.0,2.0
2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1459.9229431152344,291.9845886230469,73.63679216686262,14.727358433372524,7200.0,5.0
